"num","carat","cut","color","clarity","depth","table","price","x","y","z"
47964,0.52,"Premium","D","VS2",61.2,58,1919,5.2,5.16,3.17
25157,1.4,"Premium","D","VS1",62.8,58,13730,7.17,7.07,4.47
35599,0.31,"Ideal","H","VVS1",62.2,56,907,4.37,4.34,2.71
22113,1.24,"Ideal","F","VS1",60.9,54,10138,6.98,6.95,4.24
4511,1.02,"Good","F","SI2",59.6,64,3633,6.58,6.55,3.91
42372,0.54,"Ideal","I","VS1",61.2,58,1304,5.24,5.29,3.22
45651,0.38,"Ideal","J","SI1",62,54,525,4.66,4.7,2.9
16674,1.23,"Very Good","G","SI1",63.1,56,6665,6.81,6.78,4.29
28603,0.3,"Ideal","E","SI1",61.9,57,675,4.33,4.29,2.67
10866,1.01,"Very Good","H","SI1",61.8,59,4876,6.37,6.41,3.95
39834,0.5,"Very Good","E","SI2",63,57,1098,5.01,5.05,3.17
305,0.6,"Very Good","G","IF",61.6,56,2800,5.43,5.46,3.35
17525,1.3,"Ideal","H","SI1",62.2,56,7054,7.03,6.98,4.36
15191,1.29,"Very Good","I","VS2",61.3,58,6099,6.98,7.04,4.3
29316,0.31,"Ideal","H","VS1",61.1,57,698,4.39,4.35,2.67
25610,1.51,"Very Good","F","VS1",58.9,60,14481,7.46,7.54,4.42
34931,0.32,"Very Good","J","SI1",61.6,58,374,4.36,4.4,2.7
4822,0.9,"Ideal","F","SI2",62.6,57,3704,6.2,6.13,3.86
25453,2,"Premium","I","SI2",61.3,59,14208,8.13,8.09,4.97
9088,0.9,"Very Good","D","SI1",63,58,4523,6.11,6.14,3.86
28596,0.3,"Premium","G","VS2",62.2,60,675,4.25,4.24,2.64
50271,0.64,"Ideal","E","VS2",62,55,2238,5.52,5.55,3.43
14770,1.22,"Premium","H","VS2",61.4,62,5944,6.92,6.76,4.22
10916,1.2,"Ideal","I","SI2",59.6,61,4890,6.95,6.97,4.15
18931,1.03,"Premium","E","VS1",62.4,58,7778,6.41,6.5,4.03
4360,0.71,"Premium","F","VVS1",60.9,58,3604,5.76,5.8,3.52
8234,1.12,"Premium","I","SI1",61.1,59,4373,6.66,6.69,4.08
18970,1.21,"Ideal","G","VS2",62,56,7806,6.87,6.77,4.23
38099,0.36,"Premium","E","VS2",59.8,62,1013,4.61,4.56,2.74
30377,0.45,"Very Good","F","SI2",61.5,61,729,4.9,4.95,3.03
39917,0.45,"Ideal","G","VVS2",61.8,57,1105,4.9,4.94,3.04
53706,0.6,"Ideal","F","VVS2",61,57,2718,5.43,5.46,3.32
31232,0.44,"Good","E","SI1",63.4,57,756,4.81,4.85,3.06
50809,0.78,"Very Good","F","SI2",61.5,59,2307,5.88,5.95,3.63
24178,1.72,"Very Good","D","SI2",63.4,62,12360,7.59,7.53,4.79
4848,0.71,"Ideal","F","VS1",60.8,56,3710,5.81,5.82,3.54
37029,0.49,"Premium","H","VS2",59.6,62,965,5.17,5.14,3.07
9841,1.21,"Premium","J","VS1",61,60,4675,6.88,6.83,4.18
6335,1,"Premium","H","SI2",61,57,4032,6.51,6.4,3.94
28350,0.33,"Very Good","G","VS1",60.1,61,666,4.44,4.48,2.68
19029,0.3,"Premium","H","VVS1",60.7,58,620,4.35,4.38,2.65
41075,0.41,"Premium","F","VVS2",60.6,58,1192,4.84,4.79,2.92
44305,0.56,"Ideal","D","SI1",62.3,57,1578,5.24,5.26,3.27
28008,0.3,"Ideal","E","VS2",62.6,56,658,4.29,4.34,2.7
42502,0.57,"Premium","E","SI2",60.7,57,1320,5.42,5.35,3.27
29502,0.32,"Ideal","E","VS2",62.2,55,702,4.36,4.38,2.72
27600,2.08,"Premium","I","VS2",58.9,61,18447,8.36,8.35,4.92
41704,0.53,"Good","H","SI1",63.9,55,1242,5.19,5.14,3.3
15335,1.36,"Premium","J","VS2",58.4,59,6157,7.4,7.27,4.28
48092,0.98,"Fair","G","I1",58.7,57,1932,6.54,6.43,3.8
43286,0.3,"Ideal","I","VVS2",62.8,57,507,4.26,4.28,2.68
9037,0.36,"Ideal","H","VS2",61,55,587,4.59,4.62,2.81
6617,0.9,"Premium","H","VS2",62,57,4082,6.16,6.1,3.8
15640,1,"Premium","E","VS2",62.8,62,6272,6.29,6.26,3.94
25920,2.05,"Premium","J","VS1",60.1,58,15067,8.25,8.19,4.94
4859,0.91,"Very Good","G","SI1",63.5,61,3710,6.1,6.05,3.86
43140,0.58,"Good","G","SI1",63.8,56,1388,5.3,5.33,3.39
48656,0.34,"Very Good","H","VS2",62.4,60,537,4.41,4.44,2.76
30973,0.37,"Very Good","G","VS1",59.2,61,746,4.63,4.7,2.76
7892,1,"Very Good","E","SI2",60.6,61,4312,6.39,6.44,3.89
49798,0.51,"Ideal","G","IF",61.3,56,2163,5.15,5.19,3.16
23711,0.31,"Ideal","E","VS2",61.1,56,632,4.37,4.4,2.68
10620,1.1,"Premium","E","SI2",60.7,58,4829,6.77,6.65,4.07
18719,0.3,"Very Good","G","VS1",61.7,57,620,4.28,4.32,2.65
28136,0.29,"Ideal","D","VVS2",62.8,56,664,4.23,4.3,2.68
18213,1,"Fair","E","VS1",64.4,55,7392,6.33,6.3,4.07
10157,1.02,"Very Good","H","SI1",61.6,58,4727,6.49,6.54,4.01
50641,0.31,"Premium","G","VS2",61.2,58,544,4.32,4.37,2.66
48080,0.56,"Very Good","E","VS1",62.7,60,1931,5.25,5.28,3.3
43653,0.53,"Ideal","H","VS2",61.7,56,1435,5.17,5.21,3.2
28748,0.31,"Ideal","E","VS2",61.8,54,680,4.34,4.37,2.69
11764,0.9,"Ideal","G","VS1",62.5,57,5080,6.18,6.13,3.84
7221,1.21,"Good","J","SI2",63.7,55,4192,6.75,6.81,4.32
52430,0.7,"Premium","I","VVS1",61.2,59,2513,5.65,5.69,3.47
25118,1.21,"Ideal","E","VVS2",61.7,57,13661,6.8,6.88,4.22
40594,0.28,"Ideal","G","VS2",62.2,54,497,4.21,4.24,2.63
14504,1.24,"Very Good","H","SI2",60,58,5858,6.99,7.05,4.21
17406,1.1,"Ideal","G","VS2",60.2,56,6972,6.7,6.74,4.05
48343,0.58,"Ideal","H","VVS1",62.1,53.6,1961,5.35,5.38,3.34
34078,0.34,"Ideal","H","VVS2",61.1,56,852,4.52,4.55,2.77
77,0.26,"Very Good","E","VVS2",59.9,58,554,4.15,4.23,2.51
3739,0.33,"Ideal","I","VVS1",61.7,55.7,570,4.43,4.45,2.74
40075,0.3,"Ideal","F","VVS1",62.1,55,1114,4.32,4.31,2.68
35593,0.31,"Ideal","H","VVS1",62.2,54,907,4.39,4.36,2.72
15491,1.04,"Premium","G","VS2",62.3,54,6206,6.55,6.49,4.06
25542,2.01,"Ideal","H","SI2",62.8,57,14364,8.04,7.95,5.02
44472,0.59,"Very Good","F","SI1",61.4,58,1595,5.39,5.45,3.33
39894,0.42,"Ideal","F","VS1",61.9,57,1103,4.81,4.79,2.97
28821,0.31,"Ideal","D","VS1",60.5,55,683,4.39,4.43,2.67
47222,0.8,"Premium","J","SI1",61.4,57,1838,5.98,5.95,3.66
40050,0.38,"Premium","E","VS2",60.5,62,1112,4.74,4.65,2.84
51485,0.58,"Ideal","F","VVS2",61.9,56,2380,5.35,5.38,3.32
11603,1.04,"Good","F","SI1",63.4,59,5045,6.4,6.44,4.07
49814,0.7,"Very Good","I","VS2",61.1,60,2166,5.67,5.75,3.49
24523,1.57,"Ideal","H","VS1",62.2,55,12810,7.44,7.49,4.64
17851,1.22,"Good","H","VS2",63.8,55,7201,6.77,6.71,4.3
11732,1,"Good","G","VS2",62.7,58,5068,6.24,6.33,3.94
7939,1.05,"Very Good","G","SI2",63.2,54,4318,6.52,6.49,4.11
50401,0.71,"Ideal","I","SI1",61.4,56,2255,5.73,5.77,3.53
19817,1.23,"Premium","G","VS1",61.8,58,8381,6.88,6.84,4.24
27906,0.31,"Ideal","D","VS2",61,54,656,4.38,4.44,2.69
24186,2.31,"Very Good","J","SI2",60.7,63,12369,8.52,8.48,5.16
29061,0.4,"Very Good","E","SI1",60.8,62,687,4.72,4.76,2.88
12220,1,"Premium","F","SI1",61.2,58,5197,6.4,6.44,3.93
14133,1.01,"Good","F","VS2",63.3,55,5731,6.32,6.39,4.02
43464,0.53,"Ideal","H","VS2",61.4,55.4,1417,5.19,5.24,3.2
15496,1,"Premium","G","VVS2",62.8,57,6209,6.38,6.29,3.98
19282,1.23,"Premium","H","VVS2",62.8,56,8004,6.9,6.82,4.31
48459,0.51,"Ideal","G","VVS2",62.7,55,1976,5.08,5.1,3.19
45721,0.55,"Premium","F","VS2",62.2,58,1698,5.26,5.22,3.26
41282,0.58,"Ideal","F","SI2",60.9,57,1209,5.4,5.44,3.3
5802,0.9,"Ideal","I","SI1",61.6,55,3908,6.2,6.22,3.82
10840,1.2,"Premium","I","SI1",61.7,56,4872,6.82,6.76,4.19
50359,0.72,"Premium","G","SI1",60.6,59,2246,5.8,5.76,3.5
30456,0.3,"Ideal","F","VS1",61.7,56,731,4.34,4.32,2.67
29605,0.35,"Ideal","F","VS2",62.5,57,706,4.5,4.53,2.82
7441,0.94,"Premium","F","SI2",62.2,59,4230,6.27,6.23,3.89
2984,0.7,"Premium","F","VVS1",62.4,56,3300,5.69,5.63,3.53
26875,2.21,"Premium","F","SI1",62.1,59,16804,8.33,8.26,5.15
26872,2.04,"Ideal","H","SI2",61.5,57,16800,8.15,8.18,5.02
51988,0.25,"Very Good","E","VVS2",62.2,58,548,4.03,4.11,2.53
36600,0.32,"Ideal","F","VVS1",61.5,56,947,4.44,4.45,2.73
2752,0.81,"Good","G","VS2",62.9,58,3250,5.88,5.94,3.72
44580,0.53,"Very Good","G","VS1",63,58,1607,5.15,5.17,3.25
18571,1.01,"Premium","D","VS1",62.1,58,7575,6.4,6.37,3.97
11383,0.34,"Premium","G","VS2",60.2,58,596,4.51,4.56,2.73
2866,0.72,"Ideal","E","VS1",62.6,55,3275,5.7,5.73,3.58
19191,1.02,"Very Good","G","VVS2",63.1,59,7942,6.45,6.38,4.05
10733,0.33,"Premium","I","VS2",60.6,58,594,4.47,4.44,2.7
22534,1.7,"Premium","G","SI2",62.5,58,10574,7.53,7.6,4.73
49154,0.7,"Very Good","F","SI2",62.3,58,2070,5.65,5.71,3.54
19675,1.7,"Good","J","VS2",63.6,59,8282,7.53,7.48,4.77
47437,0.55,"Ideal","G","VS2",60.4,56,1854,5.38,5.31,3.23
25281,2.01,"Good","H","SI1",56.7,58,13929,8.31,8.36,4.73
25550,1.85,"Ideal","I","VVS2",62.4,57,14375,7.91,7.86,4.92
5399,0.3,"Premium","D","SI2",61.4,59,574,4.31,4.26,2.63
48784,0.59,"Very Good","E","VS1",60,56,2021,5.46,5.5,3.29
9529,1.01,"Very Good","H","SI1",60.2,60,4617,6.5,6.48,3.91
24048,0.38,"Premium","I","VS2",60.2,58,633,4.69,4.75,2.84
46153,0.5,"Premium","G","VS1",62.5,60,1746,5.08,5.06,3.17
46599,0.54,"Ideal","F","VS2",62.3,56,1786,5.2,5.17,3.23
47156,0.52,"Ideal","G","VVS2",62.1,56,1833,5.14,5.16,3.2
17371,0.32,"Ideal","D","SI2",61.7,55,612,4.4,4.38,2.71
39573,0.44,"Premium","G","VVS2",61.3,60,1081,4.88,4.94,3.01
7778,1.02,"Premium","I","SI1",62.7,55,4284,6.48,6.41,4.04
20596,1.66,"Very Good","I","SI1",63,57,8901,7.45,7.5,4.71
43955,0.31,"Very Good","F","SI1",60.7,58,516,4.35,4.38,2.65
17676,1.01,"Premium","F","VS1",61.3,58,7127,6.52,6.44,3.97
20916,1.52,"Good","I","SI1",64,58,9129,7.2,7.27,4.63
32714,0.31,"Ideal","F","VS2",61.9,55,802,4.35,4.31,2.68
36000,0.42,"Ideal","G","VS1",61.8,56,921,4.8,4.84,2.98
21645,1.24,"Premium","D","VS2",59.3,58,9738,7.03,7.09,4.19
15286,1.09,"Ideal","D","SI1",62.7,56,6133,6.55,6.59,4.12
20202,1.57,"Ideal","G","SI2",62,56,8643,7.44,7.47,4.62
21844,1.5,"Very Good","F","SI1",62.8,56,9904,7.26,7.33,4.58
50814,0.7,"Good","E","SI2",63.7,61,2307,5.64,5.6,3.58
32802,0.34,"Very Good","D","VS2",62.9,56,805,4.44,4.5,2.81
2061,0.32,"Very Good","E","VS2",60.5,58,561,4.4,4.42,2.67
18114,1.05,"Ideal","H","IF",61.2,55,7329,6.62,6.59,4.04
27630,2.22,"Ideal","I","VS2",61.3,56,18531,8.45,8.36,5.15
48191,0.53,"Ideal","G","VVS2",60.4,59,1946,5.26,5.3,3.19
6469,0.9,"Very Good","E","SI1",62.2,60,4054,6.14,6.17,3.83
41250,0.5,"Very Good","H","VS2",63,55,1209,5.05,5.08,3.19
23216,1.71,"Good","F","SI2",64,59,11225,7.53,7.44,4.79
38833,0.43,"Ideal","E","VS2",62.2,57,1048,4.84,4.8,3
23830,2.01,"Premium","F","SI2",62,60,11903,7.88,7.82,4.87
45828,0.5,"Very Good","D","VS2",60.1,63,1712,5.13,5.09,3.07
44996,0.31,"Premium","I","SI1",61.4,61,523,4.39,4.34,2.68
19087,1.02,"Very Good","G","VVS1",62.1,59,7861,6.36,6.39,3.96
43699,0.5,"Very Good","D","SI1",62,60,1436,5.08,5.12,3.16
44964,0.53,"Premium","F","VS2",62.1,58,1636,5.21,5.16,3.22
46864,0.53,"Ideal","G","VS1",61.9,56,1813,5.21,5.19,3.22
20353,1.55,"Premium","J","VS1",62.6,59,8749,7.4,7.35,4.62
7754,0.64,"Ideal","D","VVS1",61.5,56,4281,5.57,5.59,3.43
30903,0.39,"Ideal","G","VS2",60.7,54,745,4.74,4.77,2.89
2161,0.74,"Ideal","I","VVS2",61.3,57,3130,5.82,5.85,3.57
10827,1.15,"Ideal","H","SI2",62,56,4870,6.68,6.75,4.16
45308,0.3,"Ideal","D","SI1",61.7,57,524,4.28,4.31,2.65
52502,0.71,"Ideal","I","VS1",60.9,55,2525,5.8,5.81,3.53
9294,1.06,"Very Good","E","SI2",61.7,62,4570,6.5,6.54,4.02
49722,0.7,"Premium","G","SI1",63,59,2150,5.64,5.6,3.54
8453,1.07,"Very Good","H","SI2",62.8,57,4413,6.5,6.58,4.11
22664,1.83,"Premium","J","SI1",60.4,58,10709,7.96,7.94,4.8
49694,0.51,"Very Good","E","VVS2",62.8,57,2146,5.06,5.1,3.19
18010,1.22,"Premium","H","VS1",58.9,59,7283,7.02,6.96,4.12
19843,1.01,"Very Good","E","VS1",60.4,60,8403,6.43,6.48,3.9
34878,0.3,"Ideal","G","VVS1",61.7,57,878,4.34,4.31,2.67
32658,0.31,"Good","H","VVS2",63.6,56,802,4.33,4.28,2.74
7140,1.11,"Premium","E","SI2",61,60,4177,6.68,6.66,4.07
27880,0.4,"Ideal","I","SI1",62.2,55,654,4.72,4.77,2.95
49630,0.32,"Premium","J","VS1",60.6,59,540,4.46,4.42,2.69
2358,0.92,"Premium","H","SI2",60.4,59,3174,6.36,6.33,3.83
3655,0.73,"Ideal","D","VS2",62,56,3440,5.74,5.78,3.57
5082,0.9,"Fair","D","SI1",65.7,65,3751,6.06,5.94,3.94
29482,0.32,"Ideal","E","VS2",62.3,56,702,4.38,4.41,2.74
31301,0.32,"Ideal","D","VS2",62.1,56,758,4.39,4.43,2.74
28325,0.33,"Very Good","H","VVS2",62.4,60,666,4.39,4.42,2.75
44113,0.58,"Ideal","G","VS2",61.2,55,1558,5.4,5.45,3.32
17859,1,"Premium","F","VVS2",61.9,61,7204,6.45,6.32,3.95
3719,0.9,"Good","F","SI2",63.9,55,3453,6.15,6.12,3.92
10258,1.01,"Fair","D","SI1",63.5,58,4751,6.35,6.25,4
34585,0.51,"Very Good","J","SI1",61.7,56,872,5.14,5.17,3.18
7385,0.33,"Very Good","E","SI1",63,54,579,4.38,4.42,2.77
6607,0.91,"Very Good","F","SI2",60.6,56,4081,6.27,6.3,3.81
1439,1,"Fair","D","SI2",69.3,58,2974,5.96,5.87,4.1
38987,0.36,"Ideal","H","VVS1",62.3,56,1053,4.57,4.54,2.84
48802,0.61,"Very Good","E","VS1",59.6,63,2025,5.44,5.57,3.28
33259,0.3,"Good","D","VVS1",63.3,61,825,4.21,4.23,2.67
9606,1.02,"Very Good","G","SI1",63,55,4633,6.4,6.45,4.05
12940,1.09,"Premium","F","SI1",62.7,58,5384,6.56,6.51,4.1
21201,1.94,"Very Good","I","SI2",63.1,59,9344,8.01,7.89,5.02
25659,1.5,"Good","E","VS2",57.8,63,14565,7.58,7.53,4.37
14052,0.31,"Premium","G","VS2",58.8,62,605,4.41,4.4,2.59
13171,1.06,"Very Good","E","SI1",63.7,55,5445,6.45,6.49,4.12
41742,0.5,"Ideal","D","SI2",62.8,56,1243,5.06,5.03,3.17
5943,1.12,"Ideal","G","I1",60.3,57,3945,6.8,6.73,4.08
32096,0.33,"Premium","E","VS1",61.5,59,781,4.42,4.46,2.73
19697,0.25,"Ideal","G","IF",61.7,56,624,4.04,4.1,2.51
37799,0.35,"Ideal","E","VVS1",61.7,54,1000,4.56,4.58,2.82
25031,0.31,"Very Good","D","VS2",63.6,55,641,4.29,4.32,2.74
42995,0.54,"Ideal","G","SI1",62,54,1368,5.25,5.27,3.26
19256,1.24,"Ideal","G","VVS2",61.9,56,7986,6.87,6.83,4.24
39644,0.3,"Premium","F","IF",61.6,58,1085,4.34,4.3,2.66
53133,0.72,"Ideal","D","SI2",61.8,56,2618,5.75,5.78,3.56
41815,0.43,"Ideal","F","VVS2",62.2,55,1250,4.85,4.83,3.01
34859,0.3,"Good","G","VVS2",63.6,57,878,4.3,4.26,2.72
52236,0.57,"Very Good","E","VVS2",60,61,2485,5.36,5.44,3.24
280,0.72,"Good","F","VS1",60.7,60,2795,5.74,5.72,3.48
14356,1.06,"Premium","G","VS2",62.3,59,5813,6.52,6.49,4.05
5702,0.3,"Premium","D","SI2",62.9,58,574,4.29,4.26,2.69
20121,1.58,"Premium","I","VS2",59.4,61,8583,7.66,7.63,4.54
12309,1.13,"Very Good","I","VS1",61.7,54,5220,6.71,6.74,4.15
5626,1,"Premium","J","VS2",60.7,58,3877,6.49,6.52,3.95
39456,0.33,"Ideal","D","VS1",61,56,1077,4.47,4.45,2.72
20722,0.31,"Premium","F","VS2",62.7,59,625,4.3,4.34,2.71
13101,0.81,"Very Good","D","VVS2",63.9,56,5423,5.79,5.91,3.74
7155,1.22,"Good","G","SI2",64,61,4181,6.75,6.68,4.3
26301,1.72,"Premium","G","VS2",61.1,58,15801,7.69,7.73,4.71
41187,0.39,"Ideal","G","IF",61.6,56,1201,4.69,4.73,2.9
40343,0.33,"Premium","E","IF",60.8,58,1129,4.46,4.49,2.72
52976,0.24,"Good","F","VVS1",58.3,57,552,4.1,4.14,2.4
5191,1.07,"Ideal","J","SI1",60.8,56,3775,6.61,6.57,4.01
28222,0.33,"Ideal","F","VS2",60.5,55,666,4.47,4.55,2.73
47110,0.75,"Fair","J","SI1",55,66,1827,6.2,6.04,3.37
18104,1.02,"Ideal","G","VS1",61.3,57,7324,6.48,6.51,3.98
31497,0.34,"Ideal","G","VS2",61.5,57,765,4.51,4.47,2.76
40130,0.41,"Premium","F","VVS2",60.6,58,1115,4.79,4.84,2.92
1186,0.7,"Very Good","G","VVS2",60.8,57,2931,5.72,5.76,3.49
50046,0.59,"Very Good","D","VS2",62.9,56.7,2200,5.37,5.39,3.38
8372,0.31,"Good","F","VS2",63.7,59,583,4.26,4.31,2.73
46217,0.51,"Very Good","G","VS1",62.4,60,1752,5.05,5.08,3.16
27118,2.05,"Premium","E","SI2",62.5,56,17294,8.17,8.08,5.08
12911,1.09,"Ideal","H","SI1",62.1,55,5376,6.6,6.64,4.11
33866,0.3,"Ideal","E","VS2",61.8,55,844,4.35,4.33,2.68
53915,0.84,"Good","I","VS1",63.7,59,2753,5.94,5.9,3.77
39686,0.4,"Premium","F","VVS2",60.7,58,1088,4.7,4.75,2.87
28855,0.41,"Premium","H","SI1",60.9,60,683,4.79,4.83,2.93
30088,0.32,"Premium","H","VS1",60.2,58,720,4.47,4.43,2.68
